Sim ID,Sample,Agent ID,Strategy,Wins,Losses,Pushes,Total Profit,Avg Profit/Round,Final Bankroll
118,2000,355,unskilled,773,1040,210,-6810.00,-3.40,3190.00
118,2000,356,basic,938,941,187,2640.00,1.32,12640.00
118,2000,357,counting,865,1007,171,-6960.00,-3.48,3040.00
119,2000,358,unskilled,824,1004,199,-4005.00,-2.00,5995.00
119,2000,359,basic,903,988,166,510.00,0.26,10510.00
119,2000,360,counting,886,968,183,1365.00,0.68,11365.00
120,2000,361,unskilled,838,1006,182,-3615.00,-1.81,6385.00
120,2000,362,basic,858,990,191,-1560.00,-0.78,8440.00
120,2000,363,counting,842,1048,180,-8970.00,-4.49,1030.00
121,2000,364,unskilled,816,1017,192,-4410.00,-2.21,5590.00
121,2000,365,basic,886,966,190,150.00,0.07,10150.00
121,2000,366,counting,867,997,185,-2730.00,-1.36,7270.00
122,2000,367,unskilled,845,1005,178,-3135.00,-1.57,6865.00
122,2000,368,basic,911,991,169,375.00,0.19,10375.00
122,2000,369,counting,938,947,160,3285.00,1.64,13285.00
123,2000,370,unskilled,865,973,186,-1695.00,-0.85,8305.00
123,2000,371,basic,895,990,169,-465.00,-0.23,9535.00
123,2000,372,counting,896,995,153,-2010.00,-1.00,7990.00
124,2000,373,unskilled,816,1021,188,-4770.00,-2.38,5230.00
124,2000,374,basic,874,986,192,-315.00,-0.16,9685.00
124,2000,375,counting,897,990,174,1545.00,0.77,11545.00
125,2000,376,unskilled,837,980,202,-2775.00,-1.39,7225.00
125,2000,377,basic,897,967,183,615.00,0.31,10615.00
125,2000,378,counting,874,1008,159,-1140.00,-0.57,8860.00
126,2000,379,unskilled,857,961,215,-1365.00,-0.68,8635.00
126,2000,380,basic,888,993,179,-795.00,-0.40,9205.00
126,2000,381,counting,889,1019,155,-2385.00,-1.19,7615.00
127,2000,382,unskilled,810,1002,213,-4380.00,-2.19,5620.00
127,2000,383,basic,887,982,181,-1140.00,-0.57,8860.00
127,2000,384,counting,884,982,184,-2070.00,-1.03,7930.00
128,2000,385,unskilled,833,979,211,-3045.00,-1.52,6955.00
128,2000,386,basic,905,977,174,-195.00,-0.10,9805.00
128,2000,387,counting,913,993,161,4620.00,2.31,14620.00
129,2000,388,unskilled,814,998,214,-4125.00,-2.06,5875.00
129,2000,389,basic,901,961,173,405.00,0.20,10405.00
129,2000,390,counting,889,986,170,-4230.00,-2.12,5770.00
130,2000,391,unskilled,855,988,188,-2655.00,-1.33,7345.00
130,2000,392,basic,928,969,162,1290.00,0.65,11290.00
130,2000,393,counting,924,944,185,690.00,0.34,10690.00
131,2000,394,unskilled,863,952,215,-1035.00,-0.52,8965.00
131,2000,395,basic,915,958,179,1185.00,0.59,11185.00
131,2000,396,counting,903,1003,163,-2520.00,-1.26,7480.00
132,2000,397,unskilled,839,997,191,-3465.00,-1.73,6535.00
132,2000,398,basic,899,967,176,945.00,0.47,10945.00
132,2000,399,counting,842,1029,183,-5295.00,-2.65,4705.00
133,2000,400,unskilled,825,1011,205,-4095.00,-2.05,5905.00
133,2000,401,basic,867,1011,180,-2235.00,-1.12,7765.00
133,2000,402,counting,887,992,173,2970.00,1.49,12970.00
134,2000,403,unskilled,837,1014,181,-3615.00,-1.81,6385.00
134,2000,404,basic,857,987,194,-1560.00,-0.78,8440.00
134,2000,405,counting,842,1024,169,-7065.00,-3.53,2935.00
135,2000,406,unskilled,827,999,199,-3600.00,-1.80,6400.00
135,2000,407,basic,855,1039,169,-3435.00,-1.72,6565.00
135,2000,408,counting,897,989,156,1770.00,0.89,11770.00
136,2000,409,unskilled,857,989,178,-2400.00,-1.20,7600.00
136,2000,410,basic,885,957,201,450.00,0.23,10450.00
136,2000,411,counting,880,996,171,495.00,0.25,10495.00
137,2000,412,unskilled,853,980,190,-2370.00,-1.19,7630.00
137,2000,413,basic,933,954,171,1890.00,0.94,11890.00
137,2000,414,counting,913,966,161,-120.00,-0.06,9880.00
138,2000,415,unskilled,839,994,188,-3180.00,-1.59,6820.00
138,2000,416,basic,903,958,195,675.00,0.34,10675.00
138,2000,417,counting,906,979,175,1230.00,0.61,11230.00
139,2000,418,unskilled,817,1025,184,-4770.00,-2.38,5230.00
139,2000,419,basic,877,980,189,-615.00,-0.31,9385.00
139,2000,420,counting,920,963,180,5445.00,2.72,15445.00
140,2000,421,unskilled,795,1026,204,-5505.00,-2.75,4495.00
140,2000,422,basic,878,982,182,-810.00,-0.41,9190.00
140,2000,423,counting,855,1030,157,-5445.00,-2.72,4555.00
141,2000,424,unskilled,842,991,193,-2805.00,-1.40,7195.00
141,2000,425,basic,885,969,177,-405.00,-0.20,9595.00
141,2000,426,counting,925,962,163,30.00,0.01,10030.00
142,2000,427,unskilled,855,986,189,-2685.00,-1.34,7315.00
142,2000,428,basic,918,954,183,1770.00,0.89,11770.00
142,2000,429,counting,916,969,168,2355.00,1.18,12355.00
